Kannada,English
ಹೇಳಲು,tell
ಮಾಡುತ್ತದೆ,does
ಸೆಟ್,set
ಮೂರು,three
ಬಯಸುವ,want
ಗಾಳಿ,air
ಸಹ,also
ಆಡಲು,play
ಸಣ್ಣ,small
ಕೊನೆಯಲ್ಲಿ,end
ಪುಟ್,put
ಮನೆ,home
ಓದಲು,read
ಕೈ,hand
ಬಂದರು,port
ದೊಡ್ಡ,large
ಕಾಗುಣಿತ,spell
ಸೇರಿಸಬಹುದು,add
ಸಹ,even
ಭೂಮಿ,land
ಇಲ್ಲಿ,here
ಮಾಡಬೇಕಾಗುತ್ತದೆ,must
ದೊಡ್ಡ,big
ಹೆಚ್ಚಿನ,high
ಇಂತಹ,such
ಅನುಸರಿಸಿ,follow
ಆಕ್ಟ್,act
ಏಕೆ,why
ಕೇಳಿ,ask
ಪುರುಷರು,men
ಬದಲಾವಣೆ,change
ಹೋದರು,went
ಬೆಳಕಿನ,light
ಆಫ್,off
ಮನೆ,house
ಚಿತ್ರ,picture
ಪ್ರಯತ್ನಿಸಿ,try
ನಮಗೆ,us
ಮತ್ತೆ	again,
ತಾಯಿ,mother
ವಿಶ್ವದ,world
ಬಳಿ,near
ಸ್ವಯಂ,self
ತಂದೆ,father
ಯಾವುದೇ,any
ಹೊಸ,new
ಕೆಲಸ,work
ತೆಗೆದುಕೊಳ್ಳಲು,take
ಪಡೆಯಲು,get
ಸ್ಥಾನ,place
ಮಾಡಿದ,made
ಎಲ್ಲಿ,where
ನಂತರ,after
ಮಾತ್ರ,only
ಸುತ್ತಿನಲ್ಲಿ,round
ವ್ಯಕ್ತಿ,man
ವರ್ಷ,year
ಬಂದರು,came
ಪ್ರತಿ,every
ಉತ್ತಮ,good
ನನಗೆ,me
ನೀಡಿ,give
ನಮ್ಮ,our
ಅಡಿಯಲ್ಲಿ,under
ಹೆಸರು,name
ಅತ್ಯಂತ,very
ಮೂಲಕ,through
ಕೇವಲ,just
ರೂಪ,form
ವಾಕ್ಯ,sentence
ನಗರದ,think
ಹೇಳಲು,say
ಸಹಾಯ,help
ಕಡಿಮೆ,low
ಸಾಲು,line
ಭಿನ್ನವಾಗಿರುತ್ತವೆ,differ
ತಿರುವು,turn
ಕಾರಣ,cause
ಹೆಚ್ಚು,much
ಅರ್ಥ,mean
ಮೊದಲು,before
ಬಲ,right
ಹುಡುಗ,boy
ಹಳೆಯ,old
ತುಂಬಾ,many
